Lake,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,Provplatskoordinat N/X,Provplatskoordinat E/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MS_CD C2,MS_CD C3,ProvId,Date,Year,Month,Day,min_depth,max_depth,Undersökningstyp,Provkommentar,Al,Al_ICP,Al_NA,Al_NAD,Al_s
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30072,1997-08-14,1997,8,14,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30074,1998-02-18,1998,2,18,2.00,2.00,NA,NA,NA,NA,NA,NA,580.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30075,1998-04-14,1998,4,14,0.50,0.50,NA,NA,NA,NA,NA,NA,280.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30076,1998-08-17,1998,8,17,0.50,0.50,NA,NA,NA,NA,NA,NA,25.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30077,1998-10-13,1998,10,13,0.50,0.50,NA,NA,NA,NA,NA,NA,40.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30078,1999-02-11,1999,2,11,0.50,0.50,NA,NA,NA,NA,NA,NA,690.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30079,1999-04-15,1999,4,15,0.50,0.50,NA,NA,NA,NA,NA,NA,280.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30080,1999-08-12,1999,8,12,0.50,0.50,NA,NA,NA,NA,NA,NA,55.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30081,1999-10-12,1999,10,12,0.50,0.50,NA,NA,NA,NA,NA,NA,75.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22524,2000-02-14,2000,2,14,0.50,0.50,NA,NA,NA,NA,NA,NA,225.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22525,2000-04-25,2000,4,25,0.50,0.50,NA,NA,NA,NA,NA,NA,80.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22526,2000-08-24,2000,8,24,0.50,0.50,NA,NA,NA,NA,NA,NA,55.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22527,2000-10-24,2000,10,24,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22528,2001-02-13,2001,2,13,0.50,0.50,NA,NA,NA,NA,NA,NA,590.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22529,2001-04-11,2001,4,11,0.50,0.50,NA,NA,NA,NA,NA,NA,470.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22530,2001-08-13,2001,8,13,0.50,0.50,NA,NA,NA,NA,NA,NA,30.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,22531,2001-10-24,2001,10,24,0.50,0.50,NA,NA,NA,NA,NA,NA,75.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30262,1993-03-03,1993,3,3,0.50,0.50,NA,NA,NA,NA,NA,NA,75.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30274,1993-08-10,1993,8,10,0.50,0.50,NA,NA,NA,NA,NA,NA,35.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30283,1994-02-22,1994,2,22,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30307,1995-02-28,1995,2,28,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30319,1995-08-09,1995,8,9,2.00,2.00,NA,NA,NA,NA,NA,NA,45.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30320,1996-02-29,1996,2,29,2.60,2.60,NA,NA,NA,NA,NA,NA,50.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30322,1996-08-08,1996,8,8,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30324,1997-03-05,1997,3,5,1.00,1.00,NA,NA,NA,NA,NA,NA,105.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30326,1997-08-20,1997,8,20,0.50,0.50,NA,NA,NA,NA,NA,NA,60.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30328,1998-02-25,1998,2,25,0.50,0.50,NA,NA,NA,NA,NA,NA,55.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30329,1998-05-14,1998,5,14,0.50,0.50,NA,NA,NA,NA,NA,NA,50.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30330,1998-08-12,1998,8,12,0.50,0.50,NA,NA,NA,NA,NA,NA,20.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30331,1998-10-12,1998,10,12,0.50,0.50,NA,NA,NA,NA,NA,NA,25.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30332,1999-03-03,1999,3,3,0.50,0.50,NA,NA,NA,NA,NA,NA,55.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30333,1999-04-27,1999,4,27,0.50,0.50,NA,NA,NA,NA,NA,NA,90.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30334,1999-08-05,1999,8,5,0.50,0.50,NA,NA,NA,NA,NA,NA,35.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,30335,1999-10-12,1999,10,12,0.50,0.50,NA,NA,NA,NA,NA,NA,70.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22570,2000-03-01,2000,3,1,0.50,0.50,NA,NA,NA,NA,NA,NA,40.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22571,2000-05-16,2000,5,16,0.50,0.50,NA,NA,NA,NA,NA,NA,40.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22572,2000-08-16,2000,8,16,0.50,0.50,NA,NA,NA,NA,NA,NA,60.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22573,2000-11-14,2000,11,14,0.50,0.50,NA,NA,NA,NA,NA,NA,70.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22574,2001-03-21,2001,3,21,0.50,0.50,NA,NA,NA,NA,NA,NA,95.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22575,2001-05-17,2001,5,17,0.50,0.50,NA,NA,NA,NA,NA,NA,110.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22576,2001-08-21,2001,8,21,0.50,0.50,NA,NA,NA,NA,NA,NA,30.00
Mäsen,56,SE665654-149206,6654684,536934,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA42018902,WA42018902,22577,2001-10-10,2001,10,10,0.50,0.50,NA,NA,NA,NA,NA,NA,35.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30371,1993-03-03,1993,3,3,2.50,2.50,NA,NA,NA,NA,NA,NA,90.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30373,1993-08-10,1993,8,10,2.00,2.00,NA,NA,NA,NA,NA,NA,55.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30375,1994-02-22,1994,2,22,2.50,2.50,NA,NA,NA,NA,NA,NA,85.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30377,1994-08-01,1994,8,1,2.00,2.00,NA,NA,NA,NA,NA,NA,55.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30379,1995-02-28,1995,2,28,2.50,2.50,NA,NA,NA,NA,NA,NA,70.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30381,1995-08-09,1995,8,9,2.00,2.00,NA,NA,NA,NA,NA,NA,95.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30382,1996-03-04,1996,3,4,2.60,2.60,NA,NA,NA,NA,NA,NA,155.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30384,1996-08-08,1996,8,8,0.50,0.50,NA,NA,NA,NA,NA,NA,80.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30386,1997-03-05,1997,3,5,1.00,1.00,NA,NA,NA,NA,NA,NA,130.00
Hällsjön,57,SE667151-149602,6669695,540709,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Smedjebacken,WA23078743,WA23078743,30388,1997-08-19,1997,8,19,0.50,0.50,NA,NA,NA,NA,NA,NA,105.00
